,0
V3_baby_other,100.0
V3_child2_4_other,100.0
m6_other,99.99814240335854
V3_baby,99.99814240335854
V3_child5_17_other,99.99628480671707
V3_me_other,99.99628480671707
m8_other,99.99442721007561
V3_adult18_other,99.98328163022681
ct3_other,99.97956643694388
ct5_other,99.97956643694388
V3_child2_4,99.9628480671707
V3_child5_17,99.96099047052923
v3_open,99.96099047052923
ct6_other,99.95913287388777
m4_other,99.94612969739751
m12_other,99.94427210075604
ct1b_other,99.93498411754872
V3_me,99.92941132762432
V4_other,99.92198094105846
m6_8,99.91640815113406
m6_96,99.91640815113406
m6_5,99.91640815113406
m6_7,99.91640815113406
m6_6,99.91640815113406
m6_4,99.91640815113406
m6_3,99.91640815113406
m6_1,99.91640815113406
m6_2,99.91640815113406
V3_adult18,99.91455055449259
v3_other,99.89411699143648
m5_1,99.8606802518901
ct5_99,99.78451878959002
ct5_96,99.78451878959002
ct5_8,99.78451878959002
ct5_6,99.78451878959002
ct5_4,99.78451878959002
ct5_3,99.78451878959002
ct5_2,99.78451878959002
ct5_1,99.78451878959002
ct5_7,99.78451878959002
ct5_5,99.78451878959002
ct3,99.74179406683633
v3,99.73993647019486
m5_2,99.73622127691193
w5_12,99.66749020117771
w5_96,99.66749020117771
w5_16,99.66749020117771
w5_15,99.66749020117771
w5_14,99.66749020117771
w5_13,99.66749020117771
w5_11,99.66749020117771
w5_3,99.66749020117771
w5_10,99.66749020117771
w5_9,99.66749020117771
w5_4,99.66749020117771
w5_5,99.66749020117771
w5_6,99.66749020117771
w5_99,99.66749020117771
w5_2,99.66749020117771
w5_8,99.66749020117771
w5_1,99.66749020117771
w5_7,99.66749020117771
WAH7_1,99.63405346163134
WAH7_2,99.63405346163134
WAH7_3,99.63405346163134
WAH7_4,99.63405346163134
WAH7_5,99.63405346163134
WAH7_6,99.63405346163134
WAH7_7,99.63405346163134
WAH7_99,99.63405346163134
work7_2,99.60804710865084
work7_4,99.60804710865084
work7_5,99.60804710865084
work7_3,99.60804710865084
work7_1,99.60804710865084
work8,99.60804710865084
WAH6,99.57832556238738
q_other,99.57461036910445
child_education_1,99.55231920940687
child_education_2,99.55231920940687
child_education_3,99.55231920940687
child_education_4,99.55231920940687
m8_4,99.53745843627514
m8_1,99.53745843627514
m8_2,99.53745843627514
m8_3,99.53745843627514
m8_96,99.53745843627514
m8_8,99.53745843627514
m9_7,99.53745843627514
m9_6,99.53745843627514
m9_5,99.53745843627514
m9_3,99.53745843627514
m9_2,99.53745843627514
m8_6,99.53745843627514
m8_7,99.53745843627514
m9_1,99.53745843627514
m8_99,99.53745843627514
m9_4,99.53745843627514
m8_5,99.53745843627514
v2_2,99.51702487321903
v2_99,99.51702487321903
v2_5,99.51702487321903
v2_4,99.51702487321903
v2_3,99.51702487321903
v2_1,99.51702487321903
work5,99.4705849571824
SC_3_7,99.2885404863188
SC_3_1,99.2885404863188
SC_3_2,99.2885404863188
SC_3_3,99.2885404863188
SC_3_4,99.2885404863188
SC_3_5,99.2885404863188
SC_3_6,99.2885404863188
SC_2,99.2885404863188
SC_3_99,99.2885404863188
w4b,99.24210057028216
vac12_booster_other,99.08234725911615
vac3_other,99.05262571285272
work1,99.00804339345754
work4,99.00804339345754
work6,99.00804339345754
long_covid,98.95231549421358
m14_open,98.88915720840376
WAH5,98.77398621663292
ox4_11_1,98.70711273754017
m7_other,98.68853677112551
ox4_9_1,98.68853677112551
ox4_8_1,98.68667917448406
ox4_10_1,98.68110638455965
ox4_7_1,98.67553359463525
ox4_3_1,98.66624561142794
ox4_5_1,98.66438801478647
ox4_4_1,98.66067282150354
ox4_1_1,98.65695762822061
ox4_6_1,98.65510003157915
ox4_2_1,98.6198056953913
m12_99,98.59008414912786
m13_11,98.59008414912786
m13_10,98.59008414912786
m13_9,98.59008414912786
m13_8,98.59008414912786
m13_6,98.59008414912786
m13_5,98.59008414912786
m13_4,98.59008414912786
m13_1,98.59008414912786
m13_3,98.59008414912786
m13_2,98.59008414912786
m12_96,98.59008414912786
m12_1,98.59008414912786
m12_7,98.59008414912786
m12_8,98.59008414912786
m12_6,98.59008414912786
m12_5,98.59008414912786
m12_4,98.59008414912786
m12_3,98.59008414912786
m12_2,98.59008414912786
vac13,98.5770809726376
work3,98.55107461965709
work2,98.55107461965709
vac4,98.28358070328609
vac6,98.28358070328609
m11,98.21113443426894
m10,98.21113443426894
ct1b_1,98.18327048464697
ct1b_2,98.18327048464697
ct1b_3,98.18327048464697
ct1b_4,98.18327048464697
ct1b_5,98.18327048464697
ct1b_99,98.18327048464697
ct1b_96,98.18327048464697
ct1b_11,98.18327048464697
ct1b_10,98.18327048464697
ct1b_9,98.18327048464697
ct1b_7,98.18327048464697
ct1b_6,98.18327048464697
ct1b_8,98.18327048464697
w7,98.17026730815671
w4_5,98.16097932494938
w4_99,98.16097932494938
had_covid,98.16097932494938
w4_6,98.16097932494938
w4_10,98.16097932494938
w4_9,98.16097932494938
w4_1,98.16097932494938
w4_2,98.16097932494938
w4_3,98.16097932494938
w4_11,98.16097932494938
w4_8,98.16097932494938
w4_7,98.16097932494938
w4_4,98.16097932494938
w9_2,98.14054576189326
w9_4,98.14054576189326
w9_5,98.14054576189326
w9_1,98.14054576189326
w6,98.14054576189326
disability,98.14054576189326
w9_3,98.14054576189326
V4_8,98.13868816525179
V4_98,98.13868816525179
V1_98,98.13868816525179
V1_3,98.13868816525179
V1_2,98.13868816525179
V1_1,98.13868816525179
V4_6,98.13868816525179
V4_9,98.13868816525179
SC_1_4,98.13868816525179
SC_1_2,98.13868816525179
SC_1_5,98.13868816525179
SC_1_99,98.13868816525179
SC_1_7,98.13868816525179
SC_1_6,98.13868816525179
SC_1_3,98.13868816525179
SC_1_1,98.13868816525179
ct6_99,98.13683056861034
ct6_96,98.13683056861034
ct6_6,98.13683056861034
ct1_1,98.13683056861034
ct6_5,98.13683056861034
ct7_1,98.13683056861034
ct6_4,98.13683056861034
ct6_3,98.13683056861034
ct4,98.13683056861034
ct2,98.13683056861034
ct7_2,98.13683056861034
ct6_2,98.13683056861034
ct7_3,98.13683056861034
ct8_1,98.13683056861034
ct8_2,98.13683056861034
ct8_3,98.13683056861034
ct8_4,98.13683056861034
ct8_5,98.13683056861034
ct8_6,98.13683056861034
ct8_99,98.13683056861034
ct1_2,98.13683056861034
ct6_1,98.13683056861034
Vent_2,98.13125777868594
WAH4,98.13125777868594
future_3,98.13125777868594
m1_2,98.127542585403
m1_3,98.127542585403
m1_4,98.127542585403
m1_1,98.127542585403
ox6,98.12568498876153
ox5_2,98.12568498876153
ox5_1,98.12568498876153
ox3_6,98.12568498876153
ox3_5,98.12568498876153
ox3_3,98.12568498876153
ox3_2,98.12568498876153
ox3_1,98.12568498876153
ox1_2,98.12568498876153
ox1_1,98.12568498876153
ox3_4,98.12568498876153
vac12_other,98.04952352646147
m7_11,97.96407408095406
m4_1,97.96407408095406
m7_10,97.96407408095406
m7_9,97.96407408095406
m7_8,97.96407408095406
m7_6,97.96407408095406
m7_5,97.96407408095406
m4_3,97.96407408095406
m4_4,97.96407408095406
m4_96,97.96407408095406
m7_4,97.96407408095406
m7_3,97.96407408095406
m7_2,97.96407408095406
m4_2,97.96407408095406
m7_1,97.96407408095406
m4_99,97.96407408095406
Soc2_open,97.68543458473427
i8_health,97.58140917281222
childvac,97.21732023108503
vac14_1,96.87366485241394
vac14_2,96.87366485241394
vac14_3,96.87366485241394
WAH_1,96.7696394404919
WAH_2,96.7696394404919
WAH_3,96.7696394404919
i7b_health,96.47242397785745
i5a_health,96.29966749020117
vac_2,96.27923392714506
vac2_4,96.27923392714506
vac2_5,96.27923392714506
av2,96.2773763305036
v4_99,96.2718035405792
v4_96,96.2718035405792
v1,96.2718035405792
m14_96,96.18821169171326
m14_10,96.18821169171326
m14_1,96.18821169171326
m14_2,96.18821169171326
m14_8,96.18821169171326
m14_3,96.18821169171326
m14_7,96.18821169171326
m14_6,96.18821169171326
m14_4,96.18821169171326
m14_11,96.18821169171326
m14_99,96.18821169171326
m14_9,96.18821169171326
m14_5,96.18821169171326
vac_boost_beyond,94.50337153790426
v4_1,94.410491705831
v4_2,94.410491705831
v4_3,94.410491705831
v4_4,94.410491705831
v4_5,94.410491705831
av1_1,94.3993461259822
av1_99,94.3993461259822
av1_3,94.3993461259822
av1_2,94.3993461259822
i6_health,93.78262404101574
vac12_booster_96,93.2550665948396
vac12_booster_9,93.2550665948396
vac12_booster_10,93.2550665948396
vac12_booster_8,93.2550665948396
vac12_booster_7,93.2550665948396
vac12_booster_6,93.2550665948396
vac12_booster_5,93.2550665948396
vac12_booster_4,93.2550665948396
vac12_booster_2,93.2550665948396
vac12_booster_1,93.2550665948396
vac_boost_2,93.2550665948396
vac12_booster_3,93.2550665948396
vac9,93.07673731725893
had_covid_2,93.02658220793937
av3,92.97828469526127
m3,92.86125610684896
m2,92.51760072817788
household_children_resp,91.01666264187395
future_2,91.01666264187395
future_1,91.01666264187395
vac10_8,90.81232701131276
child_age_5,90.61170657403451
child_age_4,90.61170657403451
child_age_3,90.61170657403451
child_age_2,90.61170657403451
child_age_1,90.61170657403451
i14_health_other,89.90767744691918
vac12_12,89.6178923708506
vac12_13,89.6178923708506
w3,88.80426504188881
w2,88.80426504188881
w1,88.80426504188881
vac3_9,87.53924172905096
vac3_8,87.53924172905096
vac3_7,87.53924172905096
vac3_6,87.53924172905096
vac3_5,87.53924172905096
vac3_3,87.53924172905096
vac5,87.53924172905096
vac3_4,87.53924172905096
vac3_1,87.53924172905096
vac3_2,87.53924172905096
r1_10,87.18072557724815
Vent_1,86.93366522393328
combi_vac,86.92809243400887
vac_boost_1,86.62530418145003
vac11,85.67792989430275
vac_man_6,85.4457303141196
vac_man_3,85.4457303141196
vac_man_96,85.4457303141196
vac_man_7,85.4457303141196
vac_man_2,85.4457303141196
vac_man_5,85.4457303141196
vac_man_1,85.4457303141196
vac_man_99,85.4457303141196
vac_man_4,85.4457303141196
vac10_1,84.00609291698402
vac10_2,84.00609291698402
vac10_3,84.00609291698402
vac10_5,84.00609291698402
vac10_4,84.00609291698402
vac10_99,84.00609291698402
vac12_4,83.47482027752494
vac12_3,83.47482027752494
vac12_5,83.47482027752494
vac12_6,83.47482027752494
vac12_11,83.47482027752494
vac12_1,83.47482027752494
vac12_7,83.47482027752494
vac12_8,83.47482027752494
vac12_9,83.47482027752494
vac12_10,83.47482027752494
vac12_96,83.47482027752494
vac12_2,83.47482027752494
vac_3,82.8506678059926
Soc2_6,82.31939516653354
Soc2_5,82.31939516653354
Soc2_4,82.31939516653354
Soc2_2,82.31939516653354
Soc2_1,82.31939516653354
Soc2_3,82.31939516653354
CORE_B2_4,79.42154440584771
vac8,78.90513253952037
i12_health_21,77.60853008377761
Vent_3,76.07972804785169
WCRV_4,75.68777515650251
i12_health_10,72.68589898389463
household_children,72.33667081529916
r1_4,72.16948711756729
r1_3,72.16948711756729
r1_5,72.16948711756729
vac_booster,71.96515148700611
vac2_6,69.26977876024
vac_1,67.29329593372096
i12_health_17,60.847435587836465
i12_health_18,60.847435587836465
i12_health_20,60.847435587836465
i12_health_19,60.847435587836465
i4_health,56.27217505990749
i3_health,55.93780766444374
travel1_3,55.4529749410213
travel1_2,55.4529749410213
travel1_1,55.4529749410213
travel1_4,55.4529749410213
travel1_99,55.4529749410213
i14_health_11,54.94027826797689
i12_health_24,51.79722475061765
vac,46.46963758289525
vac2_7,44.59160737837386
r1_9,44.59160737837386
r1_8,44.59160737837386
i14_health_96,42.665279661174374
i14_health_98,42.665279661174374
i14_health_99,42.665279661174374
i14_health_10,42.665279661174374
i14_health_9,42.665279661174374
i14_health_8,42.665279661174374
i14_health_7,42.665279661174374
i14_health_6,42.665279661174374
i12_health_9,42.665279661174374
i14_health_1,42.665279661174374
i14_health_5,42.665279661174374
i14_health_4,42.665279661174374
i14_health_3,42.665279661174374
i14_health_2,42.665279661174374
i1_health,42.589118198874296
i5_health_4,41.10861367562648
i5_health_99,41.10861367562648
i5_health_2,41.10861367562648
i5_health_1,41.10861367562648
i5_health_5,41.10861367562648
i5_health_3,41.10861367562648
Soc1_3,39.1655675886538
Soc1_1,39.1655675886538
Soc1_2,39.1655675886538
vac7,39.15256441216354
r1_6,38.8126242267754
r1_7,38.8126242267754
vac2_2,35.4317983393086
vac2_3,35.4317983393086
vac2_1,35.4317983393086
i10_health,35.11229171697657
i12_health_29,33.57605929448479
i12_health_28,33.57605929448479
i12_health_27,33.57605929448479
i7a_health,33.25283747886984
i13_health,33.25283747886984
i12_health_26,26.115951182360263
PHQ4_2,20.0267493916371
PHQ4_4,19.989597458807793
PHQ4_3,19.980309475600468
PHQ4_1,19.972879089034606
i12_health_23,18.629836717255216
r1_1,16.76109449594115
i12_health_25,16.76109449594115
i12_health_22,16.76109449594115
r1_2,16.76109449594115
d1_health_5,16.731372949677706
d1_health_10,16.731372949677706
d1_health_9,16.731372949677706
d1_health_7,16.731372949677706
d1_health_6,16.731372949677706
d1_health_8,16.731372949677706
d1_health_4,16.731372949677706
d1_health_3,16.731372949677706
d1_health_2,16.731372949677706
d1_health_12,16.731372949677706
d1_health_1,16.731372949677706
d1_health_11,16.731372949677706
d1_health_98,16.731372949677706
d1_health_13,16.731372949677706
d1_health_99,16.731372949677706
WCRex1,13.029182843237418
cantril_ladder,7.40252261623911
WCRex2,5.537495588207976
i2_health,3.7189084762134748
i12_health_2,1.8687422213140639
i12_health_11,1.8687422213140639
i11_health,1.8594542381067374
i9_health,1.8594542381067374
i12_health_8,0.0
i12_health_1,0.0
i12_health_3,0.0
i12_health_4,0.0
i12_health_5,0.0
i12_health_6,0.0
i12_health_7,0.0
qweek,0.0
i12_health_12,0.0
i12_health_13,0.0
i12_health_14,0.0
i12_health_15,0.0
i12_health_16,0.0
age,0.0
gender,0.0
state,0.0
household_size,0.0
employment_status,0.0
endtime,0.0
